AcresBurned,Latitude,Longitude,Started,UniqueID,StationDistance,StationID,Total ETo (in),Total Precip (in),Avg Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Max Air Temp (F),Avg Min Air Temp (F),Avg Air Temp (F),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
108,36.75581,-119.42172,May 2018,737f9bb2-5a43-4730-94c1-4031bce6d626,3.290801361,142,7.6,0,635,10.2,83.3,52.8,69.2,76,24,42,45,4.6,64.6
106,38.8802,-123.0496,Aug 2018,9d63cbd8-7dbf-4b2d-918d-036e3a282d2d,7.576304178,106,6.86,nan,581,nan,89.9,49.9,68.7,88,32,nan,nan,nan,69.4
106,36.8266,-119.3415,Jan 2014,d529636e-33d0-484b-9c6f-093ba33736b7,7.985222521,142,2.17,0.5,224,5.8,66.5,33.5,48.7,76,29,50,30.1,3.1,45.1
105,35.3024,-120.65279,Sep 2017,cb3599f6-751d-4072-8db1-6e366ac603c9,0.6548600358,52,4.73,0.2,442,15,81.7,57.9,68,87,44,67,54.5,3.3,70.8
100,33.0971179,-117.0242529,Aug 2018,791a3a00-2c51-4679-b4b7-27cc77ec699d,3.528836684,153,7.1,0,597,21.2,90,63.7,75.7,93,47,70,64.9,4.2,81.7
100,34.19076,-117.26969,Jul 2017,32a79e9b-8ce3-477e-b698-2eb16ef66aac,5.734101609,192,7.61,0,665,11.8,82.6,51.7,68.6,81,28,49,48.3,4.5,65.9
100,32.564465,-116.900368,May 2013,e077e091-f890-477c-b948-eb23774b432e,5.153017657,147,6.03,0,591,14.8,73.8,56.2,63.7,96,56,75,54.9,4.6,67.2
100,38.43658,-121.97233,Oct 2017,03d74bbd-627c-47af-a2e9-5351e6e16f6a,4.483239456,139,nan,0.06,354,7.4,79.2,45.7,61.4,72,19,41,35.5,3.7,63.1
100,38.46123,-122.58152,Oct 2017,3f481060-1106-4857-8ac3-374a68763922,6.057212733,158,3.3,0.62,312,9.3,81.2,43.8,59.3,87,26,55,41.8,2.4,58.7
100,36.99092,-121.59899,Sep 2017,7b02d757-4f96-4616-99d5-04e4eaa34440,4.586762602,211,4.82,0,420,13.9,85.6,53.3,67.6,88,36,62,51.5,4.5,69.3
98,38.9252,-122.966,Sep 2013,b20a2031-12c9-4e9c-9f44-ac82c26e6c66,9.382614205,106,5.21,0,499,12.3,82.5,47,64.1,87,36,61,49.7,4.1,67.8
98,33.900994,-117.170588,Sep 2019,7b283f4f-c613-4840-aa90-1f6e9fa1573a,9.938006016,240,5.66,0,467,12,85.9,55.9,70.7,76,27,48,48.7,4.8,71.1
96,33.8128372,-117.1228851,Jul 2019,777caabb-3850-4db2-ba02-2d95fda38db6,6.45010786,240,8.33,0,633,12.7,91.8,57.1,74.1,80,22,45,50.8,5.2,75.4
95,35.004722,-120.435278,Jul 2019,63b69be6-bd39-4bb4-aee1-7b59dbf7c360,6.617143351,232,nan,0.01,615,14.7,74.7,54.3,61.7,95,57,78,54.9,4,74.1
95,35.1234,-118.72905,Jun 2018,d7365a2a-a113-4693-92d3-152f52b0d743,6.614813427,125,9.31,0,740,12,92.7,60.8,78.6,59,23,36,49.1,4.3,80.3
95,36.5696373,-121.7556029,Sep 2015,9569dcd6-c94f-4849-a90a-db58bfc77bee,2.132150443,229,3.65,0.74,392,12.1,72.7,48.2,60.1,88,49,73,50.8,3.4,70.5
94,33.740219,-117.333728,Aug 2019,0089d3c4-c554-46e1-8eb9-af95e4dfae0c,9.327632731,240,8,0,604,11.8,93.8,55,74.8,85,18,41,48.7,4.6,73.6
94,35.4393,-120.8358,Sep 2013,ac469123-da14-4821-b824-c6cf66138514,9.953263733,160,4.76,0.02,502,14.8,75.8,48.8,60,97,58,80,53.8,4.6,68.1
91,39.33035,-121.78973,May 2016,5080eb51-53e5-4338-95ec-618efe2bd7d1,4.995849608,244,6.55,0.76,608,14.5,83.5,57.7,69.9,87,37,59,54.2,4.1,70.9
91,34.156389,-118.950833,Oct 2019,fd21c9dc-a89f-4a29-990b-33b95ae2adc9,5.209278125,152,5.02,0.06,434,10,78.4,48.9,64,83,29,53,42.5,4.4,61.6
90,37.962557,-121.468074,Jul 2019,12528e0f-03e0-4598-8df0-e3017fa7382a,5.357685292,248,8.35,0,680,15.5,90.4,57.2,73.3,85,34,56,56.3,5.5,69.2
88,40.07846,-122.2071,Jul 2016,f88a7291-9122-49fa-864d-b807fa360393,4.9300602,222,8.76,0,712,15.9,92.5,61.8,78.1,81,28,48,56.8,4.9,74.9
85,34.20152,-117.14466,Jul 2017,84c8a735-9e8f-4310-84ab-39079ad1ea14,6.309281101,192,7.61,0,665,11.8,82.6,51.7,68.6,81,28,49,48.3,4.5,65.9
82,39.0442,-123.1478,Nov 2013,e9e43213-b2fc-47bc-92cd-117ccd6e4780,5.863575814,106,2.19,1.02,249,7.8,70.4,34.6,50,88,36,63,37,3.2,52.6
81,38.455,-121.969167,Aug 2019,ce97fe6d-a635-45f1-bc18-cdd1698673c2,3.256528325,139,nan,0.01,640,15.5,94.4,60.6,77.5,82,28,49,56.3,3.5,77.1
81,33.38613,-117.46709,Oct 2017,d12bbce8-5acb-43ef-a259-4fbaf90d32ff,9.757677234,241,4.11,0.17,402,14.6,78.6,54.8,65.4,88,50,71,54.2,4.2,68.7
80,33.56938,-116.07896,Jul 2019,6311a921-f8e9-45c1-b10d-fee8be8dae29,5.755257322,218,10.27,0.04,685,15.6,106,72.9,91.4,56,16,31,55.5,6,76.7
80,32.6449163,-116.9454387,Jun 2015,45a0a39f-b4b0-409c-9057-0942c567b7c3,1.228697774,147,5.65,0.15,574,17,77.8,59.8,67.3,91,56,74,58.8,3.9,72.9
